Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz
Vardas1             Pavarde1            1    6    3    8    6    10   5    8    5    7    7    
Vardas2             Pavarde2            9    8    2    3    3    7    1    9    6    10   2    
Vardas3             Pavarde3            5    4    5    9    4    2    4    4    3    6    1    
Vardas4             Pavarde4            3    3    9    3    2    1    9    1    8    2    5    
Vardas5             Pavarde5            6    9    1    5    1    7    8    1    10   9    5    
Vardas6             Pavarde6            3    1    10   4    2    3    5    5    4    1    3    
Vardas7             Pavarde7            9    6    5    8    1    7    5    4    5    4    8    
Vardas8             Pavarde8            9    10   8    4    2    2    8    10   5    4    10   
Vardas9             Pavarde9            7    8    6    7    9    5    9    3    9    4    8    
Vardas10            Pavarde10           1    6    7    10   2    3    8    2    4    10   5    
Vardas11            Pavarde11           1    1    3    4    1    9    7    9    9    6    8    
Vardas12            Pavarde12           5    6    2    6    6    10   1    2    1    10   2    
Vardas13            Pavarde13           4    1    2    9    7    8    10   5    10   5    1    
Vardas14            Pavarde14           5    6    7    5    1    2    7    5    8    4    3    
Vardas15            Pavarde15           8    3    8    8    7    7    2    9    4    4    9    
Vardas16            Pavarde16           4    10   3    8    10   5    5    1    7    7    6    
Vardas17            Pavarde17           3    5    1    5    5    7    7    1    2    3    9    
Vardas18            Pavarde18           9    3    5    2    5    4    10   7    8    7    3    
Vardas19            Pavarde19           6    1    10   8    8    8    3    4    8    8    2    
Vardas20            Pavarde20           9    5    1    9    8    8    5    6    4    10   1    
Vardas21            Pavarde21           4    10   10   2    8    8    2    9    5    4    1    
Vardas22            Pavarde22           1    4    8    6    3    8    8    7    4    7    8    
Vardas23            Pavarde23           8    4    10   6    3    4    6    10   8    6    3    
Vardas24            Pavarde24           7    4    5    4    4    2    1    9    9    4    5    
Vardas25            Pavarde25           10   9    6    7    2    7    3    7    2    1    7    
Vardas26            Pavarde26           4    8    1    6    7    1    3    9    6    10   6    
Vardas27            Pavarde27           5    8    5    2    5    8    9    9    6    1    3    
Vardas28            Pavarde28           6    5    9    1    2    5    2    5    8    1    2    
Vardas29            Pavarde29           5    2    2    7    3    2    8    7    7    4    2    
Vardas30            Pavarde30           6    3    4    4    8    1    6    4    2    5    9    
Vardas31            Pavarde31           9    1    1    5    1    6    8    5    3    7    9    
Vardas32            Pavarde32           4    8    2    10   3    2    8    6    4    10   3    
