Vardas              Pavarde             Galutinis
Pavarde10           Vardas10            6.12
Pavarde1000         Vardas1000          7.08
Pavarde100000       Vardas100000        7.52
Pavarde10006        Vardas10006         5.64
Pavarde10008        Vardas10008         6.2
Pavarde10009        Vardas10009         5.84
Pavarde10011        Vardas10011         7.28
Pavarde10013        Vardas10013         7.96
Pavarde10014        Vardas10014         8.76
Pavarde1002         Vardas1002          7.72
Pavarde10020        Vardas10020         7.96
Pavarde10021        Vardas10021         5.56
Pavarde10022        Vardas10022         7.56
Pavarde10024        Vardas10024         7.6
Pavarde10026        Vardas10026         7.32
Pavarde10028        Vardas10028         6
Pavarde10029        Vardas10029         5.04
Pavarde10032        Vardas10032         7.56
Pavarde10033        Vardas10033         6.52
Pavarde10035        Vardas10035         5.72
Pavarde10036        Vardas10036         6
Pavarde10037        Vardas10037         5.08
Pavarde10038        Vardas10038         5.12
Pavarde10039        Vardas10039         5.4
Pavarde10043        Vardas10043         6.8
Pavarde10047        Vardas10047         5.8
Pavarde10049        Vardas10049         7.48
Pavarde10054        Vardas10054         5.6
Pavarde10060        Vardas10060         6.4
Pavarde10062        Vardas10062         7.64
Pavarde10063        Vardas10063         5.68
Pavarde10065        Vardas10065         5.6
Pavarde10066        Vardas10066         7.4
Pavarde10068        Vardas10068         6.56
Pavarde10069        Vardas10069         7.4
Pavarde1007         Vardas1007          8.24
Pavarde10073        Vardas10073         7.04
Pavarde10074        Vardas10074         6.16
Pavarde10075        Vardas10075         7.32
Pavarde10076        Vardas10076         8.04
Pavarde10078        Vardas10078         5
Pavarde10079        Vardas10079         8.28
Pavarde10081        Vardas10081         6.32
Pavarde10082        Vardas10082         8
Pavarde10084        Vardas10084         7.56
Pavarde10085        Vardas10085         8.96
Pavarde10086        Vardas10086         5.84
Pavarde10088        Vardas10088         8.08
Pavarde1009         Vardas1009          6.48
Pavarde10090        Vardas10090         5.8
Pavarde10092        Vardas10092         7.28
Pavarde10094        Vardas10094         6.84
Pavarde10095        Vardas10095         6.52
Pavarde10097        Vardas10097         5.92
Pavarde10098        Vardas10098         7
Pavarde10099        Vardas10099         6.44
Pavarde101          Vardas101           7.2
Pavarde1010         Vardas1010          6.6
Pavarde10100        Vardas10100         7.12
Pavarde10102        Vardas10102         5.88
Pavarde10103        Vardas10103         6.2
Pavarde10104        Vardas10104         6
Pavarde10106        Vardas10106         6.52
Pavarde10107        Vardas10107         5.8
Pavarde10108        Vardas10108         5.16
Pavarde10109        Vardas10109         7.68
Pavarde10110        Vardas10110         8.52
Pavarde10111        Vardas10111         7
Pavarde10113        Vardas10113         7.92
Pavarde10116        Vardas10116         5
Pavarde10117        Vardas10117         6.56
Pavarde10119        Vardas10119         8.08
Pavarde10121        Vardas10121         5
Pavarde10124        Vardas10124         5.04
Pavarde10125        Vardas10125         7.16
Pavarde10127        Vardas10127         6.76
Pavarde10128        Vardas10128         5.24
Pavarde10131        Vardas10131         7.6
Pavarde10132        Vardas10132         6.88
Pavarde10133        Vardas10133         8.12
Pavarde10134        Vardas10134         5.96
Pavarde10137        Vardas10137         8.52
Pavarde10139        Vardas10139         8.36
Pavarde1014         Vardas1014          7.24
Pavarde10141        Vardas10141         8.16
Pavarde10142        Vardas10142         7.68
Pavarde10148        Vardas10148         7.64
Pavarde1015         Vardas1015          5.48
Pavarde10150        Vardas10150         5.12
Pavarde10151        Vardas10151         8.16
Pavarde10152        Vardas10152         7.76
Pavarde10154        Vardas10154         6.6
Pavarde10156        Vardas10156         6.36
Pavarde10157        Vardas10157         5.04
Pavarde10158        Vardas10158         5.08
Pavarde10159        Vardas10159         7.84
Pavarde1016         Vardas1016          8.4
Pavarde10160        Vardas10160         5.08
Pavarde10161        Vardas10161         7.84
Pavarde10163        Vardas10163         5.92
Pavarde10165        Vardas10165         6.04
Pavarde10166        Vardas10166         7.44
Pavarde10167        Vardas10167         8.32
Pavarde1017         Vardas1017          7.4
Pavarde10174        Vardas10174         5.72
Pavarde10175        Vardas10175         5.68
Pavarde10176        Vardas10176         5.88
Pavarde10177        Vardas10177         6.92
Pavarde10178        Vardas10178         5.32
Pavarde10180        Vardas10180         6.6
Pavarde10181        Vardas10181         6.12
Pavarde10182        Vardas10182         6
Pavarde10183        Vardas10183         7.92
Pavarde10184        Vardas10184         6.44
Pavarde10185        Vardas10185         5.52
Pavarde10186        Vardas10186         6.44
Pavarde10187        Vardas10187         5.32
Pavarde1019         Vardas1019          8.24
Pavarde10190        Vardas10190         8.28
