Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz
Vardas1             Pavarde1            6    5    2    10   2    1    10   1    8    7    4    
Vardas2             Pavarde2            9    6    8    5    6    4    4    6    2    8    2    
Vardas3             Pavarde3            9    3    9    2    9    5    8    6    9    2    2    
Vardas4             Pavarde4            5    9    6    10   6    8    10   1    8    2    9    
Vardas5             Pavarde5            2    3    2    8    2    3    8    9    6    4    5    
Vardas6             Pavarde6            6    3    5    7    3    9    2    7    8    4    2    
Vardas7             Pavarde7            3    5    8    4    9    10   1    6    8    10   3    
Vardas8             Pavarde8            8    1    1    3    5    7    1    9    10   6    9    
Vardas9             Pavarde9            2    8    3    6    1    2    3    10   7    6    7    
Vardas10            Pavarde10           7    5    8    4    1    4    3    8    6    7    8    
Vardas11            Pavarde11           8    1    4    6    7    5    9    3    7    3    8    
Vardas12            Pavarde12           5    4    8    7    10   7    2    1    7    6    4    
Vardas13            Pavarde13           2    2    5    2    10   4    4    1    8    3    10   
Vardas14            Pavarde14           5    4    10   1    4    7    6    10   8    3    7    
Vardas15            Pavarde15           8    7    1    1    4    4    6    6    1    8    1    
Vardas16            Pavarde16           8    7    2    9    8    7    7    1    8    8    4    
Vardas17            Pavarde17           7    10   1    8    9    10   2    5    10   9    6    
Vardas18            Pavarde18           9    8    1    2    6    2    1    5    5    7    9    
Vardas19            Pavarde19           5    1    4    6    8    8    10   2    9    4    7    
Vardas20            Pavarde20           8    3    1    4    4    9    1    3    7    10   10   
Vardas21            Pavarde21           4    4    6    8    3    1    1    4    4    6    8    
Vardas22            Pavarde22           3    9    4    8    4    3    6    2    10   5    9    
Vardas23            Pavarde23           2    9    5    9    8    4    4    3    7    3    5    
Vardas24            Pavarde24           8    10   8    5    2    6    8    10   5    1    9    
Vardas25            Pavarde25           8    4    2    5    8    4    3    3    10   9    1    
Vardas26            Pavarde26           8    2    7    1    4    5    5    9    5    3    8    
Vardas27            Pavarde27           8    8    4    10   2    8    3    10   5    6    5    
Vardas28            Pavarde28           5    2    5    5    8    7    9    2    6    7    10   
Vardas29            Pavarde29           3    10   9    10   10   4    1    6    8    1    2    
Vardas30            Pavarde30           4    7    8    8    6    5    4    7    9    4    8    
Vardas31            Pavarde31           10   2    8    6    9    5    2    3    1    1    3    
Vardas32            Pavarde32           9    7    3    9    5    8    3    4    3    3    1    
Vardas33            Pavarde33           2    10   9    10   6    3    9    5    1    1    9    
Vardas34            Pavarde34           6    9    1    2    5    4    4    7    5    9    6    
Vardas35            Pavarde35           4    8    6    8    9    9    3    4    3    4    5    
Vardas36            Pavarde36           6    10   3    1    1    6    8    8    8    7    7    
Vardas37            Pavarde37           3    6    7    4    10   6    3    10   1    5    9    
Vardas38            Pavarde38           4    3    7    5    2    4    10   10   10   2    8    
Vardas39            Pavarde39           2    2    4    4    9    4    9    9    3    3    7    
Vardas40            Pavarde40           10   1    7    6    7    2    3    8    5    6    7    
Vardas41            Pavarde41           10   8    2    7    1    8    5    1    1    7    4    
Vardas42            Pavarde42           3    10   5    7    4    7    6    6    1    9    5    
Vardas43            Pavarde43           9    4    2    5    8    3    4    6    6    5    4    
Vardas44            Pavarde44           8    3    4    5    8    4    3    8    10   3    1    
Vardas45            Pavarde45           10   1    3    9    10   10   1    2    10   8    6    
Vardas46            Pavarde46           10   4    7    8    5    1    3    1    3    3    3    
Vardas47            Pavarde47           6    6    5    8    6    9    9    9    3    9    2    
Vardas48            Pavarde48           1    6    5    4    2    9    9    8    9    5    7    
Vardas49            Pavarde49           6    3    1    3    7    8    6    10   9    1    7    
Vardas50            Pavarde50           8    5    3    6    2    2    4    1    1    8    8    
Vardas51            Pavarde51           3    9    7    6    2    10   9    6    2    10   6    
Vardas52            Pavarde52           1    8    7    8    9    5    4    4    9    1    6    
Vardas53            Pavarde53           7    8    8    1    10   5    1    2    8    9    4    
Vardas54            Pavarde54           2    5    6    3    3    6    4    6    2    1    10   
Vardas55            Pavarde55           10   6    10   5    6    6    2    4    1    5    8    
Vardas56            Pavarde56           1    7    4    3    1    4    3    2    3    10   6    
Vardas57            Pavarde57           4    2    8    1    5    7    8    6    3    8    9    
Vardas58            Pavarde58           7    7    6    7    7    9    8    2    2    1    10   
Vardas59            Pavarde59           5    7    4    7    6    6    1    5    1    8    2    
Vardas60            Pavarde60           7    8    9    3    3    1    10   4    9    10   5    
Vardas61            Pavarde61           10   10   5    1    1    5    3    1    8    4    5    
Vardas62            Pavarde62           4    10   1    8    4    3    4    9    9    2    9    
Vardas63            Pavarde63           7    4    10   7    2    10   6    6    3    10   9    
Vardas64            Pavarde64           2    10   8    9    8    8    4    8    9    1    5    
Vardas65            Pavarde65           5    5    5    6    7    8    9    9    3    8    2    
Vardas66            Pavarde66           8    9    1    10   6    3    7    1    4    1    8    
Vardas67            Pavarde67           2    7    9    1    3    2    1    9    8    8    1    
Vardas68            Pavarde68           7    3    6    5    7    4    1    1    9    6    3    
Vardas69            Pavarde69           6    1    2    2    5    5    6    5    3    10   2    
Vardas70            Pavarde70           4    9    8    6    10   3    10   1    3    5    2    
Vardas71            Pavarde71           9    2    10   4    6    5    1    7    7    7    1    
Vardas72            Pavarde72           8    6    10   6    8    7    7    3    1    6    3    
Vardas73            Pavarde73           6    7    2    3    6    9    5    10   6    4    5    
Vardas74            Pavarde74           3    4    4    3    10   9    8    1    6    4    6    
Vardas75            Pavarde75           5    9    9    2    9    4    9    2    5    6    1    
Vardas76            Pavarde76           9    1    4    6    3    7    5    4    3    8    10   
Vardas77            Pavarde77           2    4    8    1    1    6    7    6    7    10   6    
Vardas78            Pavarde78           2    2    2    8    10   1    3    4    10   5    1    
Vardas79            Pavarde79           1    5    1    8    6    7    6    2    6    10   2    
Vardas80            Pavarde80           4    7    2    3    6    9    9    4    6    10   6    
Vardas81            Pavarde81           10   6    3    9    7    10   10   5    1    8    4    
Vardas82            Pavarde82           6    1    2    7    3    4    9    4    9    1    10   
Vardas83            Pavarde83           1    2    10   6    4    1    9    6    4    1    5    
Vardas84            Pavarde84           1    4    5    4    1    6    6    5    9    9    10   
Vardas85            Pavarde85           7    5    2    2    10   3    1    2    9    10   2    
Vardas86            Pavarde86           1    8    10   3    6    1    9    3    10   6    5    
Vardas87            Pavarde87           6    5    4    4    10   4    1    5    2    4    1    
Vardas88            Pavarde88           8    10   4    8    2    7    8    9    6    4    8    
Vardas89            Pavarde89           10   6    3    5    4    7    6    5    9    4    3    
Vardas90            Pavarde90           8    9    5    1    2    10   7    4    6    6    7    
Vardas91            Pavarde91           10   1    4    10   1    5    3    6    2    4    7    
Vardas92            Pavarde92           9    5    5    4    10   4    6    5    9    6    1    
Vardas93            Pavarde93           3    4    1    4    6    10   3    1    9    4    5    
Vardas94            Pavarde94           4    4    8    9    4    7    4    1    5    9    6    
Vardas95            Pavarde95           8    3    3    7    4    5    8    6    10   4    2    
Vardas96            Pavarde96           1    4    4    6    1    10   4    7    4    4    10   
Vardas97            Pavarde97           10   6    8    5    3    9    7    10   9    7    3    
Vardas98            Pavarde98           3    3    4    10   3    7    5    4    9    10   4    
Vardas99            Pavarde99           9    10   9    8    2    9    5    10   2    2    1    
