Vardas              Pavarde             Galutinis
Pavarde1            Vardas1             2.16
Pavarde100          Vardas100           3.8
Pavarde10000        Vardas10000         4.16
Pavarde10001        Vardas10001         3.08
Pavarde10002        Vardas10002         4.84
Pavarde10003        Vardas10003         4.2
Pavarde10004        Vardas10004         4.28
Pavarde10005        Vardas10005         3.28
Pavarde10007        Vardas10007         3.32
Pavarde1001         Vardas1001          2.92
Pavarde10010        Vardas10010         4.08
Pavarde10012        Vardas10012         3.92
Pavarde10015        Vardas10015         4.52
Pavarde10016        Vardas10016         3.96
Pavarde10017        Vardas10017         2.96
Pavarde10018        Vardas10018         3.8
Pavarde10019        Vardas10019         3.24
Pavarde10023        Vardas10023         3.08
Pavarde10025        Vardas10025         3.64
Pavarde10027        Vardas10027         2.44
Pavarde1003         Vardas1003          4.36
Pavarde10030        Vardas10030         4
Pavarde10031        Vardas10031         4.6
Pavarde10034        Vardas10034         2.92
Pavarde1004         Vardas1004          2.56
Pavarde10040        Vardas10040         3.16
Pavarde10041        Vardas10041         4.36
Pavarde10042        Vardas10042         4.76
Pavarde10044        Vardas10044         4.2
Pavarde10045        Vardas10045         4.84
Pavarde10046        Vardas10046         4.08
Pavarde10048        Vardas10048         2.68
Pavarde1005         Vardas1005          4
Pavarde10050        Vardas10050         4.64
Pavarde10051        Vardas10051         4.36
Pavarde10052        Vardas10052         3.52
Pavarde10053        Vardas10053         4.52
Pavarde10055        Vardas10055         3.4
Pavarde10056        Vardas10056         2.8
Pavarde10057        Vardas10057         4.76
Pavarde10058        Vardas10058         3.4
Pavarde10059        Vardas10059         3.44
Pavarde1006         Vardas1006          2.64
Pavarde10061        Vardas10061         4.36
Pavarde10064        Vardas10064         3.48
Pavarde10067        Vardas10067         4.12
Pavarde10070        Vardas10070         4.2
Pavarde10071        Vardas10071         2.6
Pavarde10072        Vardas10072         4.56
Pavarde10077        Vardas10077         4.72
Pavarde1008         Vardas1008          2.96
Pavarde10080        Vardas10080         4.56
Pavarde10083        Vardas10083         3.88
Pavarde10087        Vardas10087         3.24
Pavarde10089        Vardas10089         4
Pavarde10091        Vardas10091         3.2
Pavarde10093        Vardas10093         3.56
Pavarde10096        Vardas10096         3.6
Pavarde10101        Vardas10101         2.64
Pavarde10105        Vardas10105         2.92
Pavarde1011         Vardas1011          3.96
Pavarde10112        Vardas10112         4.16
Pavarde10114        Vardas10114         4.56
Pavarde10115        Vardas10115         4.88
Pavarde10118        Vardas10118         4.76
Pavarde1012         Vardas1012          4.56
Pavarde10120        Vardas10120         4.56
Pavarde10122        Vardas10122         4.12
Pavarde10123        Vardas10123         2.32
Pavarde10126        Vardas10126         3.6
Pavarde10129        Vardas10129         2.48
Pavarde1013         Vardas1013          3.36
Pavarde10130        Vardas10130         4.96
Pavarde10135        Vardas10135         4.56
Pavarde10136        Vardas10136         4.92
Pavarde10138        Vardas10138         4.76
Pavarde10140        Vardas10140         3.76
Pavarde10143        Vardas10143         3.44
Pavarde10144        Vardas10144         4.4
Pavarde10145        Vardas10145         4.2
Pavarde10146        Vardas10146         4.28
Pavarde10147        Vardas10147         3.16
Pavarde10149        Vardas10149         4.04
Pavarde10153        Vardas10153         3.12
Pavarde10155        Vardas10155         4.08
Pavarde10162        Vardas10162         3.48
Pavarde10164        Vardas10164         4.76
Pavarde10168        Vardas10168         4.12
Pavarde10169        Vardas10169         3.48
Pavarde10170        Vardas10170         3.68
Pavarde10171        Vardas10171         3.04
Pavarde10172        Vardas10172         2.92
Pavarde10173        Vardas10173         3.48
Pavarde10179        Vardas10179         4.16
Pavarde1018         Vardas1018          3.64
Pavarde10188        Vardas10188         2.88
Pavarde10189        Vardas10189         3.76
Pavarde10191        Vardas10191         4.2
Pavarde10192        Vardas10192         4.68
Pavarde10193        Vardas10193         4.28
Pavarde10194        Vardas10194         4.32
Pavarde10195        Vardas10195         3.64
Pavarde10197        Vardas10197         4.6
Pavarde10205        Vardas10205         4.4
Pavarde1021         Vardas1021          3.8
Pavarde10210        Vardas10210         2.8
Pavarde10213        Vardas10213         4.6
Pavarde10215        Vardas10215         2.56
Pavarde10217        Vardas10217         2.44
Pavarde10218        Vardas10218         3
Pavarde1022         Vardas1022          3.36
Pavarde10221        Vardas10221         4.72
Pavarde10222        Vardas10222         4.52
Pavarde10224        Vardas10224         4.48
Pavarde10225        Vardas10225         3.16
Pavarde10227        Vardas10227         4.04
Pavarde10228        Vardas10228         4.88
Pavarde10229        Vardas10229         4.48
Pavarde1023         Vardas1023          2.88
Pavarde10230        Vardas10230         3.4
Pavarde10233        Vardas10233         4.24
Pavarde10235        Vardas10235         3.76
Pavarde10238        Vardas10238         4.92
Pavarde10241        Vardas10241         4.36
Pavarde10244        Vardas10244         4.84
Pavarde10245        Vardas10245         3.4
Pavarde10247        Vardas10247         4.48
Pavarde10248        Vardas10248         2.96
Pavarde10249        Vardas10249         4.16
Pavarde10250        Vardas10250         4.48
Pavarde10251        Vardas10251         4.76
Pavarde10252        Vardas10252         2.36
Pavarde10253        Vardas10253         2.72
Pavarde10255        Vardas10255         3.6
Pavarde10256        Vardas10256         3.4
Pavarde10257        Vardas10257         2.68
Pavarde10261        Vardas10261         3.12
Pavarde10270        Vardas10270         3.48
Pavarde10271        Vardas10271         4.12
Pavarde10274        Vardas10274         4.28
Pavarde10275        Vardas10275         3.32
Pavarde10278        Vardas10278         2.56
Pavarde1028         Vardas1028          4.24
Pavarde10280        Vardas10280         4.2
Pavarde10283        Vardas10283         3.12
Pavarde10285        Vardas10285         2.56
Pavarde1029         Vardas1029          4.92
Pavarde10291        Vardas10291         3.48
Pavarde10293        Vardas10293         3.72
Pavarde10294        Vardas10294         3.16
Pavarde10295        Vardas10295         4.48
Pavarde10296        Vardas10296         3.6
Pavarde10297        Vardas10297         3.12
Pavarde103          Vardas103           2.84
Pavarde10301        Vardas10301         4.92
Pavarde10303        Vardas10303         4.04
Pavarde10305        Vardas10305         4.64
Pavarde10307        Vardas10307         2.84
Pavarde1031         Vardas1031          3.72
Pavarde10311        Vardas10311         3.36
Pavarde10312        Vardas10312         2.4
Pavarde10315        Vardas10315         3.12
Pavarde10316        Vardas10316         4.36
Pavarde10317        Vardas10317         4.96
Pavarde10321        Vardas10321         2.96
Pavarde10322        Vardas10322         4.6
Pavarde10325        Vardas10325         3.84
Pavarde10327        Vardas10327         3.52
Pavarde10331        Vardas10331         4.76
Pavarde10334        Vardas10334         2.48
Pavarde10336        Vardas10336         2.88
Pavarde10344        Vardas10344         3.12
Pavarde10347        Vardas10347         3.44
Pavarde10351        Vardas10351         4.96
Pavarde10353        Vardas10353         4.6
Pavarde10355        Vardas10355         2.36
Pavarde10356        Vardas10356         3.12
Pavarde10357        Vardas10357         3.36
Pavarde10358        Vardas10358         4.76
Pavarde10359        Vardas10359         3.4
Pavarde10366        Vardas10366         4.44
Pavarde10368        Vardas10368         2.56
Pavarde10374        Vardas10374         4.92
Pavarde1038         Vardas1038          4.24
Pavarde10380        Vardas10380         4.36
Pavarde10381        Vardas10381         3.88
Pavarde10383        Vardas10383         3.28
Pavarde10385        Vardas10385         4.28
Pavarde10388        Vardas10388         3.08
Pavarde10390        Vardas10390         2.88
Pavarde10392        Vardas10392         2.2
Pavarde10394        Vardas10394         3.16
Pavarde10395        Vardas10395         2.32
Pavarde10397        Vardas10397         4.32
Pavarde10398        Vardas10398         2.68
Pavarde1040         Vardas1040          2.48
Pavarde10400        Vardas10400         4.08
Pavarde10402        Vardas10402         4.04
Pavarde10404        Vardas10404         4.4
Pavarde10406        Vardas10406         3.2
Pavarde10407        Vardas10407         2.68
Pavarde1041         Vardas1041          4.64
Pavarde10410        Vardas10410         3.36
Pavarde10411        Vardas10411         4.04
Pavarde10412        Vardas10412         3.64
Pavarde10417        Vardas10417         3
Pavarde10420        Vardas10420         3.2
Pavarde10421        Vardas10421         3.88
Pavarde10422        Vardas10422         3.88
Pavarde10424        Vardas10424         3.2
Pavarde10428        Vardas10428         3.52
Pavarde1044         Vardas1044          4.8
Pavarde10440        Vardas10440         3.48
Pavarde10445        Vardas10445         4.96
Pavarde10447        Vardas10447         3.96
Pavarde10448        Vardas10448         3.64
Pavarde10451        Vardas10451         2.76
Pavarde10453        Vardas10453         2.84
Pavarde10456        Vardas10456         3.16
Pavarde1046         Vardas1046          4.76
Pavarde10460        Vardas10460         4.76
Pavarde10462        Vardas10462         3
Pavarde10463        Vardas10463         3.4
Pavarde10464        Vardas10464         4.92
Pavarde10465        Vardas10465         4.52
Pavarde10466        Vardas10466         4.4
